Total infected,Super spreaders,Normal spreaders,Time,Event
37,17,20,0.08867509578074803,9
55,17,38,0.09565821347364112,10
63,17,46,0.12228713299143655,12
76,30,46,0.13106830458125598,15
88,42,46,0.14020776070659624,16
95,49,46,0.1484186384735692,17
101,55,46,0.15033879873626282,18
110,64,46,0.1537353385310277,19
115,69,46,0.16273603379691884,20
118,72,46,0.1748909975735159,23
132,72,60,0.17895551800021003,24
134,74,60,0.1829753804616254,25
150,74,76,0.18660965649240896,26
150,74,76,0.18746839284482922,28
157,74,83,0.18834742172492028,29
157,74,83,0.19046927957793974,30
163,74,89,0.19674601983675027,31
176,74,102,0.21940418993582805,34
176,74,102,0.23597109607357825,38
186,74,112,0.23926557853927102,41
191,79,112,0.23979166083382944,42
197,85,112,0.2413135439193836,43
202,85,117,0.2413221315307296,44
203,86,117,0.24306808240468283,46
210,86,124,0.25365083400597366,48
213,86,127,0.25414554010303864,49
218,86,132,0.2604602084114293,50
229,86,143,0.2644825241423294,51
233,90,143,0.264758702610855,52
233,90,143,0.26552636864896384,53
237,90,147,0.2658320202288551,54
249,102,147,0.27273602835918864,55
251,104,147,0.27906318752838105,57
252,105,147,0.28322643178801643,58
256,105,151,0.2834229480190407,59
257,105,152,0.29078955399391326,64
257,105,152,0.29095565618774216,65
267,115,152,0.2914347864381938,66
270,115,155,0.2949168216256637,67
276,121,155,0.2949843327783864,68
277,121,156,0.29793218615614697,69
277,121,156,0.2997118064416384,70
290,134,156,0.30111718079155114,71
301,145,156,0.30187679323747635,72
308,152,156,0.3044438032965775,73
308,152,156,0.31119867043579486,74
311,155,156,0.3123869118458393,75
318,155,163,0.31394729365525514,76
318,155,163,0.31655262261146194,77
320,157,163,0.31711992238200687,78
331,157,174,0.3205468930792674,79
337,157,180,0.3235753867451003,80
337,157,180,0.33042712968637056,81
337,157,180,0.33136748957661344,83
337,157,180,0.3320853797882958,84
349,157,192,0.33454440160115895,85
361,169,192,0.33940023610792125,89
362,169,193,0.3398701913772666,90
362,169,193,0.3429497782652629,91
370,169,201,0.34851398763070845,93
371,169,202,0.35325531714938313,95
377,175,202,0.35505964636979304,96
377,175,202,0.3565750697934776,97
391,189,202,0.3582945266590681,98
393,189,204,0.36018263562592495,99
393,189,204,0.36401422535735306,100
