x,y,Infection label,Rate of movement,Rate of infection,Mutation,Susceptibility
3.9296845559246822,2.9712534889769637,1.0,0.08,1.0,1.0,0.0
3.4650720409311324,4.246280662965384,1.0,0.08,1.0,1.0,0.0
1.4462665815477365,1.7772664672983833,1.0,0.08,1.0,1.0,0.0
3.1768217428174665,3.9186050609943095,1.0,0.08,1.0,1.0,0.0
1.0546423471822015,4.680299412098622,1.0,0.08,1.0,1.0,0.0
1.6442379331043704,1.1079291460800094,1.0,0.08,1.0,1.0,0.0
4.267314890104812,3.5348307929439717,1.0,0.08,1.0,1.0,0.0
4.089588043509663,0.4897773413816977,1.0,0.08,1.0,1.0,0.0
4.217845498578084,5.389698186866271,1.0,0.08,1.0,1.0,0.0
3.61957246073147,2.1037092069970447,1.0,0.08,1.0,1.0,0.0
3.971674055991352,0.2997776669253194,1.0,0.08,1.0,1.0,0.0
1.8366843957449694,3.2329233890111606,1.0,0.08,1.0,1.0,0.0
3.3603241360517835,0.5531777927710293,1.0,0.08,1.0,1.0,0.0
5.471855048956726,1.3157892351957663,1.0,0.08,1.0,1.0,0.0
4.760762803278487,3.834711140093779,1.0,0.08,1.0,1.0,0.0
5.342043677088737,4.454406150807905,1.0,0.08,1.0,1.0,0.0
1.6466916034185364,3.23219039402092,1.0,0.08,1.0,1.0,0.0
5.83754029345844,0.417130674407201,1.0,0.08,1.0,1.0,0.0
5.464277816913684,0.43391984512980564,1.0,0.08,1.0,1.0,0.0
3.926281624016741,3.6918315242020583,1.0,0.08,1.0,1.0,0.0
