Event,Simulation Time,Event Type,Individual
0,0.017373520880469156,movement,634
1,0.01956205704535517,movement,355
2,0.03253489713985062,movement,902
3,0.04128613889885541,movement,985
4,0.041610821108445994,movement,148
5,0.04938953702656901,movement,97
6,0.061826955219237714,movement,314
7,0.0755830209702396,movement,219
8,0.08043899345527855,movement,921
9,0.08867509578074803,infection,134
10,0.09565821347364112,infection,286
11,0.11150640526071262,movement,444
12,0.12228713299143655,infection,848
13,0.12940769852426812,movement,627
14,0.13064342303993648,movement,246
15,0.13106830458125598,infection,724
16,0.14020776070659624,infection,875
17,0.1484186384735692,infection,973
18,0.15033879873626282,infection,582
19,0.1537353385310277,infection,643
20,0.16273603379691884,infection,125
21,0.16526310859530738,movement,720
22,0.1738600918128062,movement,491
23,0.1748909975735159,infection,453
24,0.17895551800021003,infection,804
25,0.1829753804616254,infection,367
26,0.18660965649240896,infection,363
27,0.18688653983321277,movement,735
28,0.18746839284482922,infection,910
29,0.18834742172492028,infection,73
30,0.19046927957793974,infection,235
31,0.19674601983675027,infection,722
32,0.2080593947650307,movement,987
33,0.21545410757451344,movement,478
34,0.21940418993582805,infection,915
35,0.21999482384024394,movement,94
36,0.22083490417778856,movement,653
37,0.2305760797433316,movement,696
38,0.23597109607357825,infection,331
39,0.2364375276023105,movement,750
40,0.23878113496571574,movement,354
41,0.23926557853927102,infection,127
42,0.23979166083382944,infection,656
43,0.2413135439193836,infection,373
44,0.2413221315307296,infection,99
45,0.2424044553091209,movement,137
46,0.24306808240468283,infection,521
47,0.2432444722102124,movement,466
48,0.25365083400597366,infection,601
49,0.25414554010303864,infection,727
50,0.2604602084114293,infection,775
51,0.2644825241423294,infection,342
52,0.264758702610855,infection,805
53,0.26552636864896384,infection,875
54,0.2658320202288551,infection,111
55,0.27273602835918864,infection,653
56,0.2728980966078368,movement,206
57,0.27906318752838105,infection,275
58,0.28322643178801643,infection,229
59,0.2834229480190407,infection,537
60,0.28459053043992727,movement,432
61,0.28491660156359205,movement,55
62,0.285865652650344,movement,938
63,0.2907034216128271,movement,111
64,0.29078955399391326,infection,912
65,0.29095565618774216,infection,998
66,0.2914347864381938,infection,322
67,0.2949168216256637,infection,505
68,0.2949843327783864,infection,102
69,0.29793218615614697,infection,363
70,0.2997118064416384,infection,28
71,0.30111718079155114,infection,863
72,0.30187679323747635,infection,305
73,0.3044438032965775,infection,638
74,0.31119867043579486,infection,528
75,0.3123869118458393,infection,390
76,0.31394729365525514,infection,558
77,0.31655262261146194,infection,637
78,0.31711992238200687,infection,857
79,0.3205468930792674,infection,668
80,0.3235753867451003,infection,491
81,0.33042712968637056,infection,135
82,0.3313487077484623,movement,777
83,0.33136748957661344,infection,558
84,0.3320853797882958,infection,133
85,0.33454440160115895,infection,966
86,0.33461711437204195,movement,496
87,0.337617887054919,movement,71
88,0.33923501580632165,movement,379
89,0.33940023610792125,infection,625
90,0.3398701913772666,infection,214
91,0.3429497782652629,infection,475
92,0.34393848911679203,movement,327
93,0.34851398763070845,infection,831
94,0.35104446399366984,movement,691
95,0.35325531714938313,infection,82
96,0.35505964636979304,infection,526
97,0.3565750697934776,infection,98
98,0.3582945266590681,infection,822
99,0.36018263562592495,infection,82
100,0.36401422535735306,infection,119
