Recovered individual,Recovery Time
0.0,1.0029003486299273
1.0,1.0029003486299273
2.0,1.0029003486299273
3.0,1.0029003486299273
4.0,1.0029003486299273
5.0,1.0029003486299273
6.0,1.0029003486299273
7.0,1.0029003486299273
8.0,1.0029003486299273
9.0,1.0029003486299273
10.0,1.0029003486299273
11.0,1.0029003486299273
12.0,1.0029003486299273
13.0,1.0029003486299273
14.0,1.0029003486299273
15.0,1.0029003486299273
16.0,1.0029003486299273
17.0,1.0029003486299273
18.0,1.0029003486299273
19.0,1.0029003486299273
